overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,preferred_foot,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,movement_acceleration,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_sliding_tackle,goalkeeping_kicking,goalkeeping_speed,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1.0,1.0,0.0,0.0,0.8421052631578947,0.5806451612903221,0.3999999999999999,,,,,,,,,,95,United States,113009,Right,4,4,5,0.0,0.5405405405405408,0.9420289855072466,1.0,0.5428571428571429,0.43055555555555547,0.5454545454545454,1.0,0.9555555555555555,0.7857142857142856,0.8214285714285714,0.9890109890109892,1.0,0.9285714285714284,1.0,0.775,0.9154929577464788,0.8723404255319148,0.625,0.8529411764705882,0.7,0.7142857142857144,0.625,0.9647058823529411,0.6753246753246753,1.0,0.9638554216867472,0.976190476190476,46,0.4750000000000001,0.10344827586206896,,21,https://cdn.sofifa.com/players/226/328/20_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
0.967741935483871,0.5384615384615383,0.0,0.0,0.42105263157894735,0.48387096774193505,0.20000000000000018,,,,,,,,,,195,Australia,112998,Right,4,4,4,0.0,0.810810810810811,0.9710144927536233,0.6206896551724137,0.9714285714285713,0.29166666666666663,0.7954545454545456,0.7647058823529412,1.0,0.976190476190476,0.8809523809523809,0.9230769230769232,0.7926829268292683,0.6309523809523809,0.7179487179487178,0.925,0.9295774647887325,0.851063829787234,0.7777777777777777,1.0,0.8833333333333333,0.9090909090909092,0.7777777777777777,0.9176470588235295,0.7792207792207793,0.6075949367088608,0.6987951807228916,0.9642857142857142,36,0.16250000000000003,0.034482758620689655,,20,https://cdn.sofifa.com/players/227/125/20_120.png,,,https://cdn.sofifa.com/teams/112998/60.png,https://cdn.sofifa.com/flags/au.png
0.967741935483871,0.9615384615384617,0.0,0.0,0.5789473684210527,0.5483870967741931,0.8000000000000003,,,,,,,,,,18,France,113003,Right,2,2,4,0.0,0.32432432432432434,0.6811594202898552,0.4482758620689655,0.48571428571428554,1.0,1.0000000000000002,0.18823529411764706,0.7222222222222222,1.0,0.42857142857142855,0.7142857142857144,0.46341463414634143,0.5714285714285714,0.8205128205128205,0.675,0.47887323943661975,0.7659574468085105,0.24999999999999994,0.8970588235294118,1.0,0.7792207792207793,1.0,0.6705882352941177,0.9610389610389611,0.5316455696202531,0.6024096385542168,0.8214285714285714,90,0.9750000000000001,0.13793103448275862,,20,https://cdn.sofifa.com/players/227/316/20_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
0.935483870967742,0.9615384615384617,0.0,0.0,0.5263157894736843,0.6129032258064511,0.6800000000000002,,,,,,,,,,21,Germany,113004,Right,4,5,4,0.0,0.6486486486486487,0.8985507246376812,0.9482758620689655,0.9428571428571428,0.5138888888888888,0.7045454545454546,0.9411764705882354,0.8222222222222222,0.6071428571428571,0.9880952380952379,0.9230769230769232,1.0,1.0,0.8717948717948718,0.825,0.8028169014084507,0.8936170212765958,0.7361111111111109,0.9558823529411765,0.44999999999999996,0.8571428571428572,0.7361111111111109,0.9882352941176471,0.7662337662337664,0.9873417721518987,1.0000000000000002,0.9285714285714286,51,0.5375000000000001,0.1149425287356322,,19,https://cdn.sofifa.com/players/226/308/20_120.png,,,https://cdn.sofifa.com/teams/113004/60.png,https://cdn.sofifa.com/flags/de.png
0.935483870967742,0.9230769230769229,0.0,0.0,0.631578947368421,0.6129032258064511,0.56,,,,,,,,,,18,France,113003,Right,3,4,4,0.0,0.4864864864864864,0.7246376811594204,0.7413793103448276,0.6857142857142857,0.9861111111111109,1.0000000000000002,0.6352941176470589,0.7222222222222222,0.7142857142857142,0.5714285714285714,0.7692307692307694,0.5975609756097561,0.619047619047619,0.9102564102564101,0.75,0.732394366197183,0.9574468085106383,0.5277777777777777,0.823529411764706,0.7166666666666666,0.9610389610389611,0.9305555555555554,0.8941176470588236,0.9870129870129871,0.8481012658227849,0.7108433734939759,0.8690476190476191,94,0.925,0.1149425287356322,,20,https://cdn.sofifa.com/players/227/318/20_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
0.935483870967742,0.9230769230769229,0.0,0.0,0.6842105263157896,0.29032258064516103,0.31999999999999984,,,,,,,,,,18,France,113003,Right,5,4,4,0.0,0.6756756756756759,1.0,0.6379310344827587,0.8,0.375,0.5227272727272727,0.5529411764705883,0.9888888888888889,0.9642857142857142,1.0,0.8571428571428572,0.8536585365853658,0.6547619047619047,0.6666666666666666,0.7875000000000001,0.8309859154929577,0.8936170212765958,0.7777777777777777,1.0,0.7833333333333334,0.7012987012987013,0.6666666666666667,1.0,0.5584415584415585,0.8354430379746836,0.9036144578313254,0.8095238095238095,52,0.1875,0.09195402298850573,,21,https://cdn.sofifa.com/players/227/331/20_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
0.903225806451613,0.8846153846153846,0.0,0.0,0.631578947368421,0.5806451612903221,0.48,,,,,,,,,,95,United States,113009,Left,4,4,5,0.0,0.7837837837837838,0.9275362318840581,0.6724137931034482,0.8285714285714285,0.3472222222222222,0.590909090909091,0.7294117647058824,0.9333333333333333,0.9047619047619047,0.976190476190476,0.8901098901098903,0.6951219512195123,0.7142857142857142,0.6794871794871794,0.8625,0.7605633802816902,0.7446808510638298,0.5833333333333333,0.8970588235294118,0.7,0.7532467532467533,0.75,0.8941176470588236,0.4935064935064935,0.7721518987341772,0.9518072289156627,0.9523809523809523,34,0.21250000000000002,0.05747126436781609,,18,https://cdn.sofifa.com/players/226/301/20_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
0.903225806451613,0.8846153846153846,0.0,0.0,0.736842105263158,0.5161290322580641,0.3599999999999999,,,,,,,,,,95,United States,113009,Right,5,5,4,0.0,0.5675675675675675,0.8115942028985508,0.9310344827586208,0.5428571428571429,0.25,0.4318181818181819,0.988235294117647,0.8222222222222222,0.6309523809523809,0.9047619047619047,1.0,0.9390243902439025,0.8214285714285714,0.9358974358974359,0.7875000000000001,0.9295774647887325,0.8723404255319148,0.75,0.7500000000000001,0.4,0.6883116883116884,0.5416666666666667,0.8352941176470589,0.6493506493506493,0.9746835443037976,0.8674698795180724,0.9642857142857142,31,0.36250000000000004,0.022988505747126436,,19,https://cdn.sofifa.com/players/226/330/20_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
0.903225806451613,0.5384615384615383,0.0,0.0,0.368421052631579,0.6774193548387091,0.6400000000000001,,,,,,,,,,36,Norway,113007,Right,4,4,4,0.0,0.8378378378378377,0.8695652173913044,0.8793103448275863,0.9999999999999998,0.375,0.6818181818181819,0.9294117647058823,0.9,0.7738095238095237,0.9166666666666666,0.9670329670329673,0.9146341463414634,0.7976190476190476,0.8974358974358974,0.8875,0.8873239436619718,0.8723404255319148,0.6805555555555554,0.8088235294117648,0.5666666666666667,0.8701298701298703,0.7222222222222221,0.8941176470588236,0.6623376623376624,0.9113924050632911,0.8433734939759037,0.8690476190476191,45,0.45000000000000007,0.1149425287356322,,21,https://cdn.sofifa.com/players/227/102/20_120.png,,,https://cdn.sofifa.com/teams/113007/60.png,https://cdn.sofifa.com/flags/no.png
0.903225806451613,0.5384615384615383,0.0,0.0,0.26315789473684226,0.7419354838709671,0.6000000000000001,,,,,,,,,,34,Netherlands,113011,Right,4,4,4,0.0,0.6216216216216215,0.9710144927536233,0.6551724137931034,0.857142857142857,0.19444444444444442,0.7727272727272727,0.6823529411764706,0.9666666666666668,0.8571428571428571,0.9880952380952379,0.9010989010989012,0.7926829268292683,0.7261904761904762,0.6794871794871794,0.7875000000000001,0.7746478873239437,0.851063829787234,0.6527777777777777,0.9558823529411765,0.6499999999999999,0.8051948051948052,0.875,0.9882352941176471,0.6623376623376624,0.6962025316455697,0.8192771084337349,0.9523809523809523,22,0.16250000000000003,0.13793103448275862,,23,https://cdn.sofifa.com/players/233/746/20_120.png,,,https://cdn.sofifa.com/teams/113011/60.png,https://cdn.sofifa.com/flags/nl.png
